,culture,line,rate,yield
437,C108,UA,0.036536076,0.532963804
438,C109,UA,0.035598016,0.525883352
439,C110,UA,0.034540526,0.510213494
440,C378,UA,0.00855,0.04438
441,C379,UA,0.00907,0.04681
442,C380,UA,0.00943,0.04604
443,C108,UA,0.036536076,0.532963804
444,C109,UA,0.035598016,0.525883352
445,C110,UA,0.034540526,0.510213494
446,C111,WT,0.00515929,0.23215732
447,C381,WT,0.00564,0.02485
448,C382,WT,0.00474,0.02404
449,C383,WT,0.00532,0.02295
450,C384,WT,0.00469,0.02233
451,C385,WT,0.00485,0.02422
452,C386,WT,0.00486,0.02599
453,C387,WT,0.00546,0.02147
454,C388,WT,0.00494,0.02333
455,C389,WT,0.00486,0.02333
456,C390,WT,0.00583,0.02282
457,C391,WT,0.00489,0.02465
458,C392,WT,0.00651,0.02566
459,C393,WT,0.00676,0.0245
460,C394,WT,0.00602,0.02404
461,C395,WT,0.00574,0.02417
462,C111,WT,0.00515929,0.23215732
463,C214,WT,0.089854973,0.513438087
464,C215,WT,0.095349163,0.525037894
465,C216,WT,0.070785452,0.504862519
466,C112,HA,0.031349938,0.526936294
467,C113,HA,0.029714418,0.518467696
468,C114,HA,0.030547924,0.506346625
469,C115,HA,0.031781728,0.530835517
470,C116,HA,0.0290204,0.436176925
471,C117,HA,0.02995064,0.43471696
472,C118,HA,0.028879432,0.429334333
473,C119,HA,0.026096932,0.392069647
474,C120,HA,0.026891713,0.393032523
475,C121,HA,0.027287,0.391175012
476,C122,HA,0.0314082,0.528689818
477,C123,HA,0.032216874,0.511807389
478,C124,HA,0.032144042,0.519105973
479,C125,HA,0.032182049,0.503619948
480,C126,HR,0.032701549,0.474437526
481,C127,HR,0.03218054,0.468991112
482,C128,HR,0.033664913,0.471371314
483,C129,HR,0.030549765,0.438042228
484,C130,HR,0.029865682,0.43795289
485,C131,HR,0.032350544,0.46852802
486,C132,HR,0.029727381,0.462534056
487,C133,HR,0.024092911,0.516844852
488,C134,HR,0.025349145,0.501406396
489,C135,HR,0.026528956,0.468266331
490,C136,UA,0.027331419,0.532375144
491,C137,UA,0.028215218,0.543359816
492,C138,UA,0.041451089,0.528292309
493,C139,UA,0.040290231,0.530861592
494,C140,UA,0.039578297,0.562536433
495,C141,UA,0.036250596,0.550121708
496,C142,UA,0.039645333,0.536855367
497,C143,UA,0.040631636,0.5391228
498,C144,UA,0.043155399,0.531114483
499,C145,UA,0.039955674,0.53598408
500,C222,HA,0.00702,0.03627
501,C223,HA,0.00603,0.03536
502,C224,HA,0.00595,0.03683
503,C225,HA,0.00774,0.0371
504,C226,HA,0.00644,0.03711
505,C227,HA,0.00667,0.03599
506,C228,HA,0.00621,0.03698
507,C229,HA,0.00602,0.03625
